action,center_ch1,center_error_to_target,center_ival,ch1,ch1_max,ch1_mean,ch1_min,ch1_ptp,ch1_std,ch2,ch2_max,ch2_mean,ch2_min,ch2_ptp,drop_from_baseline,elapsed_s,error_to_target,i_gain,index,ival,ival_drift,ival_end,ival_saturated,ival_start,local_drop,max_abs_delta_ch1,minus_ch1,minus_delta_ch1,n,ok,out2_saturated,p,periodic_or_large,phase,platform_like,plus_ch1,plus_delta_ch1,probe_inconclusive,probe_min_ch1_change,probe_point,readback_i,readback_ival,readback_p,reason,requested_i,requested_ival,requested_p,selected_direction,selected_start,selected_step,selected_stop_limit,setting,t_s,target_crossings,target_error_mean,too_deep
measure,,,,,,0.05810546875,,,,,,-0.0875244140625,,,,1.5497584342956543,-0.03570556640625,,,,,,,,,,,,,,,,,probe,,,,,,center,,-0.0875244140625,,,,-0.08747783460115131,,,,,,,,,,
measure,,,,,,0.11751302083333333,,,,,,-0.0675048828125,,,,2.8635480403900146,0.02370198567708333,,,,,,,,,,,,,,,,,probe,,,,,,plus,,-0.0675048828125,,,,-0.06747783460115131,,,,,,,,,,
select_direction,0.05810546875,-0.03570556640625,-0.0875244140625,,,0.057698567708333336,,,,,,-0.107421875,,,,4.1894001960754395,-0.036112467447916664,,,,,,,,,0.05940755208333333,0.057698567708333336,-0.00040690104166666435,,,,,,probe,,0.11751302083333333,0.05940755208333333,False,0.006,minus,,-0.107421875,,center is below target; choose the side with stronger CH1 increase,,-0.10747783460115132,,1.0,-0.0875244140625,0.003,0.062475585937499994,,,,,
measure,,,,,,0.0657958984375,,,,,,-0.0875244140625,,,0.0,5.749470233917236,-0.02801513671875,,,,,,,,0.0,,,,,,,,,approach,,,,,,,,-0.0875244140625,,,,-0.0875244140625,,,,,,,,,,
measure,,,,,,0.0721435546875,,,,,,-0.08447265625,,,-0.00634765625,7.06718897819519,-0.02166748046875,,,,,,,,-0.00634765625,,,,,,,,,approach,,,,,,,,-0.08447265625,,,,-0.0845244140625,,,,,,,,,,
stop_near_target,,,,,,0.08951822916666667,,,,,,-0.0814208984375,,,-0.02372233072916667,8.38930892944336,-0.004292805989583329,,,,,,,,-0.01737467447916667,,,,,,,,,approach,,,,,,,,-0.0814208984375,,,,-0.08147265625,,,,,,,,,,
,,,,0.08251953125,,,,,,-0.0814208984375,,,,,,8.701594114303589,,0.0,0,-0.0814208984375,,,,,,,,,,,,-0.00048828125,,p_test,,,,,,,,,,,,,,,,,,-0.000488,0.0,,,
,,,,0.096923828125,,,,,,-0.08154296875,,,,,,9.27109169960022,,0.0,1,-0.0814208984375,,,,,,,,,,,,-0.00048828125,,p_test,,,,,,,,,,,,,,,,,,-0.000488,0.5694975852966309,,,
,,,,0.0980224609375,,,,,,-0.08154296875,,,,,,9.829084396362305,,0.0,2,-0.0814208984375,,,,,,,,,,,,-0.00048828125,,p_test,,,,,,,,,,,,,,,,,,-0.000488,1.1274902820587158,,,
,,,,0.1033935546875,,,,,,-0.08154296875,,,,,,10.375835418701172,,0.0,3,-0.0814208984375,,,,,,,,,,,,-0.00048828125,,p_test,,,,,,,,,,,,,,,,,,-0.000488,1.674241304397583,,,
